87,2.246159872s,12.180001123s,142.634182ms,12.455837595s,142.708932ms,1.471132662s,35.058355ms,284.691016ms,10.246203381s
88,3.110346061s,9.588416421s,142.659862ms,9.871137582s,139.731426ms,1.440656864s,41.929456ms,265.875684ms,7.700028554s
89,2.224973012s,11.012965374s,135.092814ms,11.27653967s,83.167225ms,1.411886588s,31.134333ms,247.215863ms,9.239375717s
90,2.418302115s,11.576268874s,184.036957ms,11.894392987s,92.581558ms,1.576475524s,36.998988ms,282.266672ms,9.587712423s
91,2.957501356s,10.935800943s,204.837575ms,11.274535473s,80.34083ms,1.323244203s,27.767651ms,368.177836ms,9.136073378s
92,2.573483937s,11.709442211s,239.187446ms,12.104897186s,91.198389ms,1.495127052s,36.66391ms,293.549665ms,9.792662255s
93,2.802780657s,11.533265574s,178.936955ms,11.849268814s,161.457409ms,1.400587261s,39.851443ms,279.636939ms,9.651559286s
94,2.585299861s,11.940885373s,151.056004ms,12.240325616s,85.842065ms,1.571122074s,30.326865ms,262.134742ms,9.991301733s
95,3.316023617s,11.939311507s,197.16469ms,12.291463167s,87.925697ms,1.464526676s,39.115528ms,272.798493ms,10.074774616s
96,3.16455655s,12.646272697s,215.37995ms,13.001905598s,84.346291ms,1.396707144s,31.554622ms,435.537472ms,10.697941843s
97,3.443566897s,11.942248601s,165.226957ms,12.242467773s,87.52435ms,1.399751541s,37.592102ms,276.85517ms,10.140332753s
98,3.46295117s,11.433100597s,144.76912ms,11.714598232s,87.065502ms,1.398568782s,45.408786ms,282.37153ms,9.619498007s
99,2.98736792s,14.44962988s,231.913472ms,14.841268035s,93.926847ms,1.851144542s,37.807949ms,320.835531ms,12.145731722s
100,3.620038957s,12.77948971s,179.075097ms,13.097664863s,99.784069ms,1.811374586s,44.040309ms,290.743172ms,10.533337919s
101,3.368352758s,14.911609069s,181.295196ms,15.230006141s,88.144573ms,1.768086774s,43.865995ms,371.951266ms,12.639340551s
102,3.09830857s,12.528344979s,158.433138ms,12.830970029s,93.386282ms,2.202534046s,39.100665ms,284.701029ms,9.908427525s
103,3.646778241s,13.612840847s,153.747005ms,13.906560312s,79.932079ms,1.833702072s,33.763645ms,471.639476ms,11.193624613s
104,2.691916861s,14.07658406s,175.234041ms,14.391939137s,162.774731ms,1.841363123s,40.418069ms,277.405286ms,11.754459032s
105,3.33807766s,13.686260167s,150.879265ms,13.970118048s,89.530676ms,1.640923753s,39.447541ms,266.215021ms,11.649941044s
106,3.186407651s,13.43765639s,300.231887ms,13.881639957s,90.905302ms,1.413245889s,37.447927ms,443.605714ms,11.452279996s
107,4.052982083s,17.2780059s,332.321224ms,17.797155363s,88.051903ms,1.83507352s,41.68919ms,286.52881ms,15.026406034s
108,3.553560472s,15.105325436s,186.035795ms,15.444301543s,141.545489ms,2.795723531s,46.315047ms,345.595286ms,11.775964128s
109,2.875259884s,17.796157716s,210.874082ms,18.156603531s,94.767692ms,2.264697053s,46.378906ms,520.896193ms,14.869151959s
110,2.647597135s,17.953229007s,155.065095ms,18.248539392s,86.54181ms,2.789632139s,41.047233ms,324.326314ms,14.711498557s
111,3.772913004s,14.910394676s,199.977852ms,15.245901559s,84.030732ms,2.21927347s,46.809303ms,334.935445ms,12.225158136s
112,3.211995822s,15.608305133s,166.444706ms,15.920200312s,83.45737ms,2.176219574s,34.338446ms,275.852828ms,13.038215915s
113,2.991042394s,15.49899253s,218.390171ms,15.874148707s,88.26341ms,2.239512546s,36.286932ms,534.018632ms,12.600708195s
114,3.58996079s,16.393952729s,193.565381ms,16.734730693s,106.47304ms,2.150330626s,34.166253ms,284.8836ms,13.817917479s
115,3.109638072s,15.449357189s,234.804494ms,15.834320519s,93.18546ms,1.9919791s,34.648195ms,407.631649ms,12.921714993s
116,4.000741497s,51.32576121s,494.810343ms,52.519542594s,119.152609ms,8.214728637s,51.677492ms,1.377993077s,41.561937108s
117,4.461030628s,21.247160933s,431.001582ms,21.842001403s,145.153374ms,3.414790195s,93.646657ms,751.066016ms,16.842289538s
118,4.171351873s,21.041507113s,230.457488ms,21.424800521s,129.836937ms,3.619200886s,92.405536ms,470.238534ms,16.729608418s
119,3.681644844s,22.094622514s,191.110158ms,22.441362357s,145.757393ms,2.866469968s,77.27664ms,386.118894ms,18.618822231s
120,3.466783476s,16.90803972s,169.694922ms,17.242702103s,104.536278ms,2.65527984s,43.627486ms,342.706065ms,13.761663243s
121,4.780027204s,18.603890569s,212.932153ms,18.984090378s,88.461059ms,2.417323976s,51.551174ms,766.083273ms,15.280202213s
122,4.574351975s,17.943452633s,508.551654ms,18.618107564s,113.746176ms,2.375789249s,70.229639ms,404.538111ms,14.978936413s
123,3.491834471s,17.997740957s,181.453283ms,18.330972919s,110.932188ms,2.560368568s,58.04307ms,438.852695ms,14.829376125s
124,3.851158907s,18.765137s,665.945542ms,19.583814582s,92.20824ms,3.108896971s,48.477548ms,329.583025ms,15.185771381s
125,3.031953675s,24.214181798s,208.031692ms,24.571710366s,111.866149ms,3.34604323s,55.818ms,758.784068ms,19.941469708s
126,3.413013236s,21.05780926s,488.968339ms,21.713191442s,92.284541ms,2.659088569s,54.678081ms,355.867923ms,17.895637383s
127,3.819258478s,18.698888093s,247.242639ms,19.115495821s,88.880096ms,2.349366894s,52.656477ms,506.862778ms,15.700928301s
128,3.474632563s,17.779054806s,468.30087ms,18.427870726s,92.779202ms,2.488895006s,39.562351ms,322.561792ms,14.835082418s
129,3.797480556s,19.218098644s,268.49223ms,19.650122068s,87.19462ms,2.541908146s,39.799585ms,540.385767ms,16.008596225s
130,3.066074689s,19.146298044s,184.90045ms,19.496328959s,92.062048ms,2.751522323s,46.125864ms,336.929279ms,15.919492752s
131,3.753316607s,40.989656603s,359.708985ms,41.841693872s,92.361626ms,7.325279577s,109.819022ms,1.364345489s,32.097608161s
132,5.947479569s,1m10.821967254s,1.049947289s,1m12.966718803s,143.551126ms,13.673906588s,213.6549ms,2.028810692s,54.76175333s
